Tên sản phẩm,Mã hàng
Y 90 dày Mh.,YMH90D
Y 90/60 dày Mh.,YMH9060D
Y 90/60 Mh.,YMH9060
Y 90 Mh.,YMH90
Y 76/60 Mh.,YMH7660
Y 60 dày Mh.,YMH60D
Y 60 Mh.,YMH60
Y 140/114 dày Mh.,YMH140114
Y 140 dày Mh.,YMH140
Y 114dày Mh.,YMH114D
Y 114 Mh.,YMH114
Tê 90 dày Mh.,TMH90D
Tê 90/60 dày Mh.,TMH9060
Tê 90/49 Mh.,TMH9049
Tê 90 Mh.,TMH90
Tê 76/60 Mh.,TMH7660
Tê 76 Mh.,TMH76
Tê 73 Mh.,TMH73
Tê 60 dày Mh.,TMH60D
Tê 60/49 Mh.,TMH6049
Tê 60/42 Mh.,TMH6042
Tê 60/34 Mh.,TMH6034
Tê 60/21 Mh.,TMH6021
Tê 60 Mh.,TMH60
Tê 49/27 Mh.,TMH4927
Tê 49/21 Mh.,TMH4921
Tê 49 Mh.,TMH49
Tê 42 Mh.,TMH42
Tê 34/27 Mh.,TMH3427
Tê 34/21 Mh.,TMH3421E
Tê 34 Mh.,TMH34
Tê 27 Mh.,TMH27
Tê 21 Mh.,TMH21
Tê 200 dày Mh.,TMH200D
Tê 140 dày Mh.,TMH140D
Tê 140 Mh.,TMH140
Tê 114 dày Mh.,TMH114D
Tê 114/60dày Mh.,TMH11460D
Tê 114 Mh.,TMH114
Tê cong 90 Mh.,TCMH90
Tê cong 60 Mh.,TCMH60
Tê cong 114/60 Mh.,TCMH11460
Tê cong 114 Mh.,TCMH114
Thỏ ngăn mùi 90 Mh.,T90MH
Tê 90/34 Mh.,T9034MH
Tê 60/27 Mh.,T6027MH
Tê 42/34 Mh.,T4234MH
Tê 42/27 Mh.,T4227MH
Tê 42/21 Mh.,T4221MH
Tê 27/21 Mh.,T2721MH
Thỏ ngăn mùi 114 Mh.,T114MH
Tê 114/90 Mh.,T11490MH
Tê 114/60 Mh.,T11460MH
Nối ren trong 21 Mh.,RTMH21
Nối ren ngoài 27 Mh.,RNMH27
Lơi 90 ép dày Mh.,LMH90D
Lơi 90 ép mỏng Mh.,LMH90
Lơi 60 ép mỏng Mh.,LMH60M
Lơi 60 ép dày Mh.,LMH60
Lơi 49 ép Mh.,LMH49
Lơi 42 ép Mh.,LMH42
Lơi 34 ép Mh.,LMH34
Lơi 27 ép Mh.,LMH27
Lơi 21 ép Mh.,LMH21
Lơi 114 ép mỏng Mh.,LMH114M
Lơi 114 ép dày Mh.,LMH114
Nối 90 Mh.,MSMH90
Nối 60 ép Mh.,MSMH60
Nối 49 Mh.,MSMH49
Nối 42 Mh.,MSMH42
Nối 34 ép Mh.,MSMH34
Nối 27 ép Mh.,MSMH27
Nối 21 ép Mh.,MSMH21
Co 90 dày Mh.,CMH90D
Co 90 Mh.,CMH90
Co 76 Mh.,CMH76
Co 60 dày Mh.,CMH60D
Co 60 Mh.,CMH60
Co 49 Mh.,CMH49
Co 42 Mh.,CMH42
Co 34 Mh.,CMH34
Co 27 Mh.,CMH27
Co 21 Mh.,CMH21
Co 168 Mh.,CMH168
Co 140 Mh.,CMH140
Co 114 dày Mh.,CMH114D
Co 114 Mh.,CMH114
Nút bịt 60 dày Mh.,BMH60
Nối 90/76 dày Mh.,9076
Nối 90/73 dày Mh.,9073D
Nối 90/73 mỏng Mh.,9073
Nối 90/60 ép Mh.,9060E
Nối 90/49 ép Mh.,9049E
Nối 90/42 ép Mh.,9042E
Nối 90/34 ép Mh.,9034
Nối 90/27 ép Mh.,9027
Nối 73/60 Mh.,7360
Nối 60/49 ép Mh.,6049E
Nối 34/27 ép Mh.,3427E
Nối 114/90 ép Mh.,11490E
Nối 114/60 ép Mh.,11460E
Nối 114/27 dày Mh.,11427D
